url,name,description,source,location,domain
https://www.generalcatalyst.com/companies/altos-labs,Altos Labs,Health-focused company backed since 2021,https://www.generalcatalyst.com/portfolio,North America,Health
https://www.alyce.com/,Alyce,Alyce is a company that provides a platform for personalized corporate gifting.,https://www.generalcatalyst.com/portfolio,North America,Enterprise Solutions
https://www.generalcatalyst.com/companies/anduril,Anduril,"Anduril designs advanced defense technology systems, including drones and surveillance equipment.",https://www.generalcatalyst.com/portfolio,North America,Defense & Intelligence
https://www.applied.co/,Applied Intuition,Applied Intuition provides simulation software for autonomous vehicle development.,https://www.generalcatalyst.com/portfolio,North America,Autonomous vehicle development
https://www.canva.com/,Canva,Canva is a graphic design platform that allows users to create visual content.,https://www.generalcatalyst.com/portfolio,Asia,Graphic design platform
https://www.generalcatalyst.com/companies/charm-industrial,Charm Industrial,Charm Industrial focuses on carbon removal and bio-oil production from biomass.,https://www.generalcatalyst.com/portfolio,North America,Climate & Energy
https://www.circle.com/,Circle,Circle is a global financial technology firm enabling internet-based payments and financial infrastructure.,https://www.generalcatalyst.com/portfolio,North America,Fintech
https://www.cityblock.com/,Cityblock Health,"Cityblock Health is a healthcare company focused on providing personalized, community-based care to underserved populations.",https://www.generalcatalyst.com/portfolio,North America,Healthcare
https://www.generalcatalyst.com/companies/codeium,Codeium,Codeium provides AI-powered code completion tools for software developers.,https://www.generalcatalyst.com/portfolio,North America,Artificial Intelligence
https://www.generalcatalyst.com/companies/collaborative-robotics,Cobot,Cobot provides coworking space management software for community managers and space operators.,https://www.generalcatalyst.com/portfolio,North America,Industrials
https://www.generalcatalyst.com/companies/commure,Commure,Commure develops software to connect healthcare data and improve clinical workflows.,https://www.generalcatalyst.com/portfolio,North America,Healthcare Technology
https://www.cred.club/,CRED,CRED rewards credit card users for on-time payments with exclusive offers and experiences.,https://www.generalcatalyst.com/portfolio,Asia,Fintech
https://www.demandware.com/,Demandware,Demandware offers cloud-based e-commerce solutions for retailers.,https://www.generalcatalyst.com/portfolio,North America,E-commerce solutions
https://discord.com/,Discord,"A communication platform that specializes in text, image, video, and audio communication between users in a chat channel.",https://www.generalcatalyst.com/portfolio,North America,Communication Technology
https://feverup.com/,Fever,Fever curates and promotes local events and experiences through a user-friendly app.,https://www.generalcatalyst.com/portfolio,Europe,Events and Experiences Promotion
https://www.fivetran.com/,Fivetran,"Fivetran delivers automated data integration, making it easy to centralize data from various sources.",https://www.generalcatalyst.com/portfolio,North America,Data Integration
https://www.generalcatalyst.com/companies/fourier,Fourier,Climate & Energy company,https://www.generalcatalyst.com/portfolio,North America,Climate & Energy
https://about.gitlab.com/,GitLab,GitLab is a comprehensive DevOps platform enabling collaborative software development.,https://www.generalcatalyst.com/portfolio,North America,DevOps platform
https://www.generalcatalyst.com/companies/glean,Glean,Artificial Intelligence company,https://www.generalcatalyst.com/portfolio,North America,Artificial Intelligence
https://www.grammarly.com/,Grammarly,Grammarly provides an AI-powered writing assistant that helps people communicate more effectively.,https://www.generalcatalyst.com/portfolio,North America,AI-powered writing assistance
https://www.generalcatalyst.com/companies/helsing,Helsing,Helsing develops AI-based defense and security solutions for national defense.,https://www.generalcatalyst.com/portfolio,Europe,Defense & Intelligence
https://www.generalcatalyst.com/companies/hippocratic-ai,Hippocratic AI,Hippocratic AI develops medical AI systems focused on improving healthcare delivery and patient outcomes.,https://www.generalcatalyst.com/portfolio,North America,Healthcare/Medical AI
https://www.generalcatalyst.com/companies/hive,Hive,"Hive offers AI-based solutions for content moderation, visual search, and other applications.",https://www.generalcatalyst.com/portfolio,North America,Artificial Intelligence
https://www.hubspot.com/,HubSpot,"HubSpot provides a full stack of software for marketing, sales, and customer service, with a completely free CRM at its core.",https://www.generalcatalyst.com/portfolio,North America,Marketing and Sales Software
https://www.illumio.com/,Illumio,Illumio provides cybersecurity solutions to prevent the spread of breaches within data centers and cloud environments.,https://www.generalcatalyst.com/portfolio,North America,Cybersecurity
https://www.instacart.com/,Instacart,Instacart provides grocery delivery and pick-up services from local stores.,https://www.generalcatalyst.com/portfolio,North America,Grocery delivery and pick-up services
https://www.kayak.com/,Kayak,"Kayak is a travel search engine for finding flights, hotels, and rental cars.",https://www.generalcatalyst.com/portfolio,North America,Travel Search Engine
https://www.generalcatalyst.com/companies/livongo-health,Livongo,"Livongo provides digital health solutions to manage chronic conditions like diabetes, hypertension, and behavioral health.",https://www.generalcatalyst.com/portfolio,North America,Healthcare
https://www.generalcatalyst.com/companies/mark43,Mark43,Mark43 offers cloud-based public safety software for law enforcement agencies.,https://www.generalcatalyst.com/portfolio,North America,Defense & Intelligence
https://www.mavenclinic.com/,Maven Clinic,"Maven Clinic offers virtual care for women and families, providing services from fertility to pediatrics.",https://www.generalcatalyst.com/portfolio,North America,Healthcare - Virtual Care
https://www.generalcatalyst.com/companies/mistral-ai,Mistral AI,"Mistral AI develops innovative, open-source AI models that transform business operations and products.",https://www.generalcatalyst.com/portfolio,Europe,Artificial Intelligence
https://www.generalcatalyst.com/companies/modular,Modular,Modular offers AI infrastructure solutions to accelerate machine learning development and deployment.,https://www.generalcatalyst.com/portfolio,North America,Artificial Intelligence
https://www.monzo.com/,Monzo,Monzo is a digital bank offering personal and business banking services.,https://www.generalcatalyst.com/portfolio,Europe,Fintech
https://www.generalcatalyst.com/companies/nominal,Nominal,Industrials company backed since 2024,https://www.generalcatalyst.com/portfolio,North America,Industrials
https://www.generalcatalyst.com/companies/pacific-fusion,Pacific Fusion,Climate & Energy company,https://www.generalcatalyst.com/portfolio,North America,Climate & Energy
https://www.generalcatalyst.com/companies/physicsx,PhysicsX,PhysicsX specializes in using advanced physics simulations for industrial applications.,https://www.generalcatalyst.com/portfolio,Europe,Industrial applications
https://www.ramp.com/,Ramp,Ramp provides corporate card and spend management solutions for businesses.,https://www.generalcatalyst.com/portfolio,North America,Fintech
https://www.generalcatalyst.com/companies/re-build,Re-Build,Re-Build is a company in the Industrials sector that has been backed since 2024.,https://www.generalcatalyst.com/portfolio,North America,Industrials
https://www.generalcatalyst.com/companies/samsara,Samsara,"Samsara provides IoT solutions for fleet management, industrial operations, and workplace safety.",https://www.generalcatalyst.com/portfolio,North America,"IoT solutions for fleet management, industrial operations, and workplace safety"
https://www.generalcatalyst.com/companies/snap,Snap Inc.,"Snap Inc. is the parent company of Snapchat, a multimedia messaging app.",https://www.generalcatalyst.com/portfolio,North America,Consumer
https://stripe.com/,Stripe,Stripe offers payment processing software and APIs for online businesses.,https://www.generalcatalyst.com/portfolio,North America,Fintech
https://www.generalcatalyst.com/companies/sword,Sword,Sword offers virtual physical therapy services through a combination of AI and human expertise.,https://www.generalcatalyst.com/portfolio,North America,Health
https://www.generalcatalyst.com/companies/tractian,Tractian,Tractian offers predictive maintenance solutions using IoT sensors and AI analytics.,https://www.generalcatalyst.com/portfolio,North America,Industrials
https://www.generalcatalyst.com/companies/valinor,Valinor,Defense & Intelligence,https://www.generalcatalyst.com/portfolio,North America,Defense & Intelligence
https://www.generalcatalyst.com/companies/vannevar,Vannevar,Vannevar builds advanced AI solutions for national security and defense applications.,https://www.generalcatalyst.com/portfolio,North America,Defense & Intelligence
https://www.zepto.com/,Zepto,Consumer-focused company,https://www.generalcatalyst.com/portfolio,Asia,Consumer
